Nama,,Ibukota,,,Kecamatan,Kelurahan,Desa,Luas,Penduduk,Pengentri,Keterangan,http://www.kemendagri.go.id/media/documents/2015/02/25/l/a/lampiran_i.pdf
Aceh,,,,,,,,,,,14-Jun,
 KABUPATEN TULANG BAWANG,,Menggala,,,15,4,147,"3,466.32","415,309",DITA,,
 KABUPATEN TANGGAMUS,,Kota Agung,,,20,3,299,"3,020.64","634,643",DITA,,
 KABUPATEN LAMPUNG TIMUR,,Sukadana,,,24,,264,"5,325.03","1,105,225",VIKTORY/DITA,Viktory sampai 3 kecamatan teratas,
 KABUPATEN WAY KANAN,,Blambangan Umpu,,,14,6,221,"3,921.63","472,483",DITA,,
 KABUPATEN PESAWARAN,,Gedong Tataan,,,9,,144,"2,243.51","542,984",DITA,,
 KABUPATEN PRINGSEWU,,Pringsewu,,,9,5,126,625,"453,212",DITA,,
 KABUPATEN MESUJI,,Mesuji,,,7,,105,"2,184.00","302,524",DITA,,
 KABUPATEN TULANG BAWANG BARAT,,Tulang Bawang Ten,,,8,3,93,"1,201.00","251,039",DITA,,
 KABUPATEN PESISIR BARAT,,Krui,,,11,2,116,"2,907.23","156,216",EKO,,
 KOTA BANDAR LAMPUNG,,Bandar Lampung,,,20,126,,296,"1,166,761",EKO,,
 KOTA METRO,,Metro,,,5,22,,61.79,"161,799",EKO,,
,,,,,,,,,,,,
Kepulauan Bangka Belitung,,,,,,,,,,,,
 KABUPATEN BANGKA,,Sungai Liat,,,8,15,62,"2,950.68","304,944",EKO,,
 KABUPATEN BELITUNG,,Tanjung Pandan,,,5,7,42,"2,293.61","152,250",EKO,,
 KABUPATEN BANGKA SELATAN,,Toboali,,,8,3,50,"3,607.08","163,407",EKO,,
 KABUPATEN BANGKA TENGAH,,Koba,,,6,7,56,"2,155.77","165,021",EKO,,
. KABUPATEN BANGKA BARAT,,Mentok,,,6,4,60,"2,820.61","179,711",EKO,,
. KABUPATEN BELITUNG TIMUR,,Manggar,,,7,,39,"2,506.91","109,564",EKO,,
. KOTA PANGKAL PINANG,,Pangkal Pinang,,,7,42,,89.4,"202,959",EKO,,
,,,,,,,,,,,,
Kepulauan Riau,,,,,,,,,,,,
. KABUPATEN BINTAN,,Bandar Seri Bentan,,,10,15,36,"1,318","140,169",ELBERT,,
 KABUPATEN KARIMUN,,Tj. Balai Karimun,,,12,29,42,912.75,"237,002",ELBERT,,
 KABUPATEN NATUNA,,Ranai,,,12,6,70,"2,009.04","71,448",ELBERT,,
 KABUPATEN LINGGA,,Daik Lingga,,,9,7,75,"2,266.77","87,463",ELBERT,,
 KABUPATEN KEPULAUAN ANAMBAS,,Tarempa,,,7,2,52,590.14,"41,188",ELBERT,,
 KOTA BATAM,,Batam,,,12,64,,960.25,"1,029,808",ELBERT,,
 KOTA TANJUNG PINANG,,Tanjung Pinang,,,4,18,,144.56,"203,008",ELBERT,,
DKI JAKARTA,,,,,,,,,,,,
 KABUPATEN administrasi kepulauan SERIBU,,P. Seribu,,,2,6,,10.18,"25,366",ELBERT,,
 KOTA administrasi JAKARTA PUSAT,,Tanah Abang,,,8,44,,52.38,"1,114,581",ELBERT,,
 KOTA administrasi JAKARTA UTARA,,Tanjung Priok,,,6,31,,139.99,"1,647,853",ELBERT,,
 KOTA administrasi JAKARTA BARAT,,Grogol Petamburan,,,8,56,,124.44,"2,234,397",ELBERT,,
 KOTA administrasi JAKARTA SELATAN,,Kebayoran Baru,,,10,65,,154.32,"2,113,411",ELBERT,,
 KOTA administrasi JAKARTA TIMUR,,Cakung,,,10,65,,182.7,"2,852,887",ELBERT,,
,,,,,,,,,,,,
JAWA BARAT,,,,,,,,,,,,
 KABUPATEN BOGOR,,Cibinong,,,40,17,417,"2,710.62","3,766,199",,,
 KABUPATEN SUKABUMI,,Sukabumi,,,47,5,381,"4,145.70","2,436,729",,,
 KABUPATEN CIANJUR,,Cianjur,,,32,6,353,"3,840.16","2,214,326",,,
 KABUPATEN BANDUNG,,Soreang,,,31,10,270,"1,767.96","3,490,691",EKO,,
 KABUPATEN GARUT,,Garut,,,42,21,421,"3,074.07","2,184,025",EKO,,
 KABUPATEN TASIKMALAYA,,Singaparna,,,39,,351,"2,551.19","1,640,647",EKO,,
 KABUPATEN CIAMIS,,Ciamis,,,26,7,258,"1,414.71","1,200,924",EKO,,
 KABUPATEN KUNINGAN,,Kuningan,,,32,15,361,"1,110.56","1,112,465",ELBERT,,
 KABUPATEN CIREBON,,Sumber,,,40,12,412,984.52,"2,054,614",ELBERT,,
 KABUPATEN MAJALENGKA,,Majalengka,,,26,13,330,"1,204.24","1,238,760",ELBERT,,
 KABUPATEN SUMEDANG,,Sumedang,,,26,7,276,"1,518.33","1,100,576",ELBERT,,
 KABUPATEN INDRAMAYU,,Indramayu,,,31,8,309,"2,040.11","1,830,607",IDA,,
 KABUPATEN SUBANG,,Subang,,,30,8,244,"1,893.95","1,538,100",IDA,,
 KABUPATEN PURWAKARTA,,Purwakarta,,,17,9,183,825.74,"845,689",IDA,,
 KABUPATEN KARAWANG,,Karawang,,,30,12,297,"1,652.20","1,898,273",IDA,,
 KABUPATEN BEKASI,,Cikarang,,,23,5,182,"1,224.88","2,482,751",,,
 KABUPATEN BANDUNG BARAT,,Ngamprah,,,16,,165,"1,305.77","1,549,548",,,
 KABUPATEN PANGANDARAN,,Parigi,,,10,,93,"1,010.00","395,725",,,
 KOTA BOGOR,,Bogor,,,6,68,,118.5,"982,469",DITA,,
 KOTA SUKABUMI,,Sukabumi,,,7,33,,48.25,"320,970",DITA,,
 KOTA BANDUNG,,Bandung,,,30,151,,167.67,"2,339,463",DITA,,
 KOTA CIREBON,,Cirebon,,,5,22,,37.36,"316,126",DITA,,
 KOTA BEKASI,,Bekasi,,,12,56,,206.61,"2,381,053",DITA,,
 KOTA DEPOK,,Depok,,,11,63,,200.29,"1,631,951",DITA,,
 KOTA CIMAHI,,Cimahi,,,3,15,,39.27,"513,176",DITA,,
 KOTA TASIKMALAYA,,Tasikmalaya,,,10,69,,171.61,"678,027",DITA,,
 KOTA BANJAR,,Banjar,,,4,9,16,113.49,"188,486",DITA,,
,,,,,,,,,,,,
Jawa Tengah,,,,,,,,,,,,
 KABUPATEN CILACAP,,Cilacap,,,24,15,269,"2,124.47","1,799,761",,,
 KABUPATEN BANYUMAS,,Purwokerto,,,27,30,301,"1,335.30","1,707,474",,,
 KABUPATEN PURBALINGGA,,Purbalingga,,,18,15,224,677.55,"929,393",,,
 KABUPATEN BANJARNEGARA,,Banjarnegara,,,20,12,266,"1,023.73","983,682",,,
 KABUPATEN KEBUMEN,,Kebumen,,,26,11,449,"1,211.74","1,343,218",,,
 KABUPATEN PURWOREJO,,Purworejo,,,16,25,469,"1,091.49","745,479",DITA,,
 KABUPATEN WONOSOBO,,Wonosobo,,,15,29,236,981.41,"845,760",DITA,,
 KABUPATEN MAGELANG,,Mungkid,,,21,5,367,"1,102.93","1,261,661",DITA,,
 KABUPATEN BOYOLALI,,Boyolali,,,19,6,261,"1,008.45","972,794",DITA,,
 KABUPATEN KLATEN,,Klaten,,,26,10,391,658.22,"1,273,881",DITA,,
 KABUPATEN SUKOHARJO,,Sukoharjo,,,12,17,150,489.12,"885,200",DITA,,
 KABUPATEN WONOGIRI,,Wonogiri,,,25,43,251,"1,793.67","1,041,557",DITA,,
 KABUPATEN KARANGANYAR,,Karanganyar,,,17,15,162,775.44,"861,240",DITA,,
 KABUPATEN SRAGEN,,Sragen,,,20,12,196,941.54,"958,606",DITA,,
 KABUPATEN GROBOGAN,,Purwodadi,,,19,7,273,"2,013.86","1,411,662",DITA,,
 KABUPATEN BLORA,,Blora,,,16,24,271,"1,804.59","868,524",DITA,,
 KABUPATEN REMBANG,,Rembang,,,14,7,287,887.13,"612,334",DITA,,
 KABUPATEN PATI,,Pati,,,21,5,401,"1,489.19","1,259,732",DITA,,
 KABUPATEN KUDUS,,Kudus,,,9,9,123,425.15,"801,768",,,
 KABUPATEN JEPARA,,Jepara,,,16,11,184,"1,059.25","1,141,236",,,
 KABUPATEN DEMAK,,Demak,,,14,6,243,900.12,"1,099,078",,,
 KABUPATEN SEMARANG,,Ungaran,,,19,27,208,950.21,"988,708",,,
 KABUPATEN TEMANGGUNG,,Temanggung,,,20,23,266,837.71,"754,141",,,
 KABUPATEN KENDAL,,Kendal,,,20,20,266,"1,118.13","951,465",,,
 KABUPATEN BATANG,,Batang,,,15,9,239,788.65,"762,278",,,
 KABUPATEN PEKALONGAN,,Kajen,,,19,13,272,837,"911,277",,,
 KABUPATEN PEMALANG,,Pemalang,,,14,11,211,"1,118.03","1,457,090",,,
 KABUPATEN TEGAL,,Slawi,,,18,6,281,876.1,"1,385,254",,,
 KABUPATEN BREBES,,Brebes,,,17,5,292,"1,902.37","1,835,627",,,
 KOTA MAGELANG,,Magelang,,,3,17,,16.06,"124,912",,,
 KOTA SURAKARTA,,Surakarta,,,5,51,,46.01,"552,118",,,
 KOTA SALATIGA,,Salatiga,,,4,23,,57.36,"175,288",,,
 KOTA SEMARANG,,Semarang,,,16,177,,373.78,"1,621,384",,,
 KOTA PEKALONGAN,,Pekalongan,,,4,27,,45.25,"298,386",,,
 KOTA TEGAL,,Tegal,,,4,27,,39.68,"275,789",,,
,,,,,,,,,,,,
Daerah Istimewa Yogyakarta,,,,,,,,,,,,
 KABUPATEN KULON PROGO,,Wates,,,12,1,87,586.28,"409,568",DITA,,
 KABUPATEN BANTUL,,Bantul,,,17,,75,508.13,"912,937",DITA,,
 KABUPATEN GUNUNG KIDUL,,Wonosari,,,18,,144,"1,431.42","749,155",DITA,,
 KABUPATEN SLEMAN,,Sleman,,,17,,86,574.82,"1,062,801",DITA,,
 KOTA YOGYAKARTA,,Yogyakarta,,,14,45,,32.5,"407,617",DITA,,
,,,,,,,,,,,,
Jawa Timur,,,,,,,,,,,,
Kabupaten Bangkalan,,Bangkalan,,,,,,,,,,
Kabupaten Banyuwangi,,Banyuwangi,,,,,,,,,,
Kabupaten Blitar,,Kanigoro,,,,,,,,,,
Kabupaten Bojonegoro,,Bojonegoro,,,,,,,,,,
Kabupaten Bondowoso,,Bondowoso,,,,,,,,,,
Kabupaten Gresik,,Gresik,,,,,,,,,,
Kabupaten Jember,,Jember,,,,,,,,,,
Kabupaten Jombang,,Jombang,,,,,,,,,,
Kabupaten Kediri,,Kediri,,,,,,,,,,
Kabupaten Lamongan,,Lamongan,,,,,,,,,,
Kabupaten Lumajang,,Lumajang,,,,,,,,,,
Kabupaten Madiun,,Caruban,,,,,,,,,,
Kabupaten Magetan,,Magetan,,,,,,,,,,
Kabupaten Malang,,Kepanjen,,,,,,,,,,
Kabupaten Mojokerto,,Mojokerto,,,,,,,,,,
Kabupaten Nganjuk,,Nganjuk,,,,,,,,,,
Kabupaten Ngawi,,Ngawi,,,,,,,,,,
Kabupaten Pacitan,,Pacitan,,,,,,,,,,
Kabupaten Pamekasan,,Pemekasan,,,,,,,,,,
Kabupaten Pasuruan,,Pasuruan,,,,,,,,,,
Kabupaten Ponorogo,,Ponorogo,,,,,,,,,,
Kabupaten Probolinggo,,Kraksaan,,,,,,,,,,
Kabupaten Sampang,,Sampang,,,,,,,,,,
Kabupaten Sidoarjo,,Sidoarjo,,,,,,,,,,
Kabupaten Situbondo,,Situbondo,,,,,,,,,,
Kabupaten Sumenep,,Sumenep,,,,,,,,,,
Kabupaten Trenggalek,,Trenggalek,,,,,,,,,,
Kabupaten Tuban,,Tuban,,,,,,,,,,
Kabupaten Tulungagung,,Tulungagung,,,,,,,,,,
,,,,,,,,,,,,
Kota Kediri,,Kediri,,,,,,,,,,
Kota Madiun,,Madiun,,,,,,,,,,
Kota Malang,,Malang,,,,,,,,,,
Kota Surabaya,,Surabaya,,,,,,,,,,
Kota Mojokerto,,Mojokerto,,,,,,,,,,
Kota Pasuruan,,Pasuruan,,,,,,,,,,
Kota Probolinggo,,Probolinggo,,,,,,,,,,
Kota Blitar,,Blitar,,,,,,,,,,
Kota Batu,,Batu,,,,,,,,,,
,,,,,,,,,,,,
Banten,,,,,,,,,,,,
 KABUPATEN PANDEGLANG,,Pandeglang,,,35,13,326,2747,"1,139,061",,,
 KABUPATEN LEBAK,,Rangkas Bitung,,,28,5,340,3427,"1,133,671",,,
 KABUPATEN TANGERANG,,Tigaraksa,,,29,28,246,1012,"2,518,830",,,
 KABUPATEN SERANG,,Ciruas,,,29,,326,1734,"1,401,036",,,
 KOTA TANGERANG,,Tangerang,,,13,104,,154,"1,566,190",,,
 KOTA CILEGON,,Cilegon,,,8,43,,176,"387,543",,,
 KOTA SERANG,,Serang,,,6,66,,267,"613,356",,,
 KOTA TANGERANG SELATAN,,Ciputat,,,7,54,,147,"1,219,245",,,
,,,,,,,,,,,,
Bali,,,,,,,,,,,,
 KABUPATEN JEMBRANA,,Negara,,,5,10,41,842,"310,596",,,
 KABUPATEN TABANAN,,Tabanan,,,10,,133,1014,"457,765",,,
 KABUPATEN BADUNG,,Mangupura,,,6,16,46,419,"461,062",,,
 KABUPATEN GIANYAR,,Gianyar,,,7,6,64,368,"485,377",,,
 KABUPATEN KLUNGKUNG,,Semarapura,,,4,6,53,315,"211,862",,,
 KABUPATEN BANGLI,,Bangli,,,4,4,68,491,"261,240",,,
 KABUPATEN KARANGASEM,,Amlapura,,,8,3,75,840,"539,314",,,
 KABUPATEN BULELENG,,Singaraja,,,9,19,129,1365,"805,883",,,
 KOTA DENPASAR,,Denpasar,,,4,16,27,128,"632,016",,,
,,,,,,,,,,,,
Nusa Tenggara Barat,,,,,,,,,,,,
 KABUPATEN LOMBOK BARAT,,Mataram,,,10,3,119,896.56,"708,236",DIMAS,,
 KABUPATEN LOMBOK TENGAH,,Praya,,,12,12,127,"1,095.03","1,027,534",DIMAS,,
 KABUPATEN LOMBOK TIMUR,,Selong,,,20,15,239,"1,230.76","1,279,949",DIMAS,,
 KABUPATEN SUMBAWA,,Sumbawa Besar,,,24,8,157,"6,643.98","503,978",DIMAS,,
